campaign.resourceName,campaign.advertisingChannelType,campaign.name,campaign.id,metrics.clicks,metrics.conversionsValue,metrics.conversions,metrics.costMicros,metrics.ctr,metrics.averageCpc,metrics.impressions,metrics.interactionRate,metrics.interactions,segments.searchTermTargetingStatus,campaignSearchTermView.resourceName,campaignSearchTermView.searchTerm,metrics.valuePerConversion,metrics.costPerConversion
customers/2565189582/campaigns/23144283317,SEARCH,[Rede de Pesquisa] | hostfully | pt-br,23144283317,1,0,0,13680000,0.5,13680000,2,0.5,1,NONE,customers/2565189582/campaignSearchTermViews/23144283317~c2Vydmljb3MgaW1vYmlsaWFyaW9zIGNhZGFzdHJhcg,servicos imobiliarios cadastrar,,
customers/2565189582/campaigns/23144283317,SEARCH,[Rede de Pesquisa] | hostfully | pt-br,23144283317,1,0,0,4879780,1,4879780,1,1,1,NONE,customers/2565189582/campaignSearchTermViews/23144283317~c2lzdGVtYSBkZSBsb2Nhw6fDo28gZGUgaW3Ds3ZlaXM,sistema de locação de imóveis,,
customers/2565189582/campaigns/23144283317,SEARCH,[Rede de Pesquisa] | hostfully | pt-br,23144283317,1,0,0,4500000,0.03225806451612903,4500000,31,0.03225806451612903,1,NONE,customers/2565189582/campaignSearchTermViews/23144283317~b21uaWJlZXM,omnibees,,
customers/2565189582/campaigns/23144283317,SEARCH,[Rede de Pesquisa] | hostfully | pt-br,23144283317,1,0,0,3672274,1,3672274,1,1,1,NONE,customers/2565189582/campaignSearchTermViews/23144283317~c2lzdGVtYSBwYXJhIGhvdGVsIGUgcG91c2FkYQ,sistema para hotel e pousada,,
customers/2565189582/campaigns/23144283317,SEARCH,[Rede de Pesquisa] | hostfully | pt-br,23144283317,1,0,0,3070000,0.5,3070000,2,0.5,1,NONE,customers/2565189582/campaignSearchTermViews/23144283317~c2lzdGVtYSBwYXJhIGhvdGVsIGdyYXR1aXRv,sistema para hotel gratuito,,
customers/2565189582/campaigns/23144283317,SEARCH,[Rede de Pesquisa] | hostfully | pt-br,23144283317,1,0,0,2490000,0.5,2490000,2,0.5,1,NONE,customers/2565189582/campaignSearchTermViews/23144283317~bG9jYcOnw6NvIGRlIGltw7N2ZWlzIHBvciB0ZW1wb3JhZGE,locação de imóveis por temporada,,
customers/2565189582/campaigns/23144283317,SEARCH,[Rede de Pesquisa] | hostfully | pt-br,23144283317,1,0,0,2330000,0.5,2330000,2,0.5,1,NONE,customers/2565189582/campaignSearchTermViews/23144283317~aG9zdG5qb3k,hostnjoy,,
customers/2565189582/campaigns/23144283317,SEARCH,[Rede de Pesquisa] | hostfully | pt-br,23144283317,1,0,0,1941084,1,1941084,1,1,1,NONE,customers/2565189582/campaignSearchTermViews/23144283317~dG90dnMgaG9zcGl0YWxpdHk,totvs hospitality,,
customers/2565189582/campaigns/23144283317,SEARCH,[Rede de Pesquisa] | hostfully | pt-br,23144283317,1,0,0,1440000,1,1440000,1,1,1,NONE,customers/2565189582/campaignSearchTermViews/23144283317~Y29udHJvbGUgZGUgYWx1Z3VlaXM,controle de alugueis,,
customers/2565189582/campaigns/23619221250,SEARCH,au-uk_brand_search,23619221250,1,0,0,10200000,0.5,10200000,2,0.5,1,NONE,customers/2565189582/campaignSearchTermViews/23619221250~aG9zdGZ1bGx5IGNvc3Q,hostfully cost,,
